"cause","exposure","mean","lower","upper"
"cvd_ihd",1548,2.01619808010722,1.67376873174422,2.40224129611019
"cvd_ihd",1549,2.01619892502631,1.67376924391727,2.40224254685454
"cvd_ihd",1550,2.01619976994576,1.67376975609048,2.40224379759956
"cvd_ihd",1551,2.01620061486558,1.67377026826384,2.40224504834521
"cvd_ihd",1552,2.01620145978576,1.67377078043736,2.40224629909154
"cvd_ihd",1553,2.01620230470629,1.67377129261103,2.40224754983849
"cvd_ihd",1554,2.01620314962718,1.67377180478487,2.40224880058611
"cvd_ihd",1555,2.01620399454843,1.67377231695885,2.40225005133437
"cvd_ihd",1556,2.01620483947005,1.673772829133,2.40225130208329
"cvd_ihd",1557,2.01620568439202,1.6737733413073,2.40225255283286
"cvd_ihd",1558,2.01620652931435,1.67377385348176,2.40225380358307
"cvd_ihd",1559,2.01620737423705,1.67377436565638,2.40225505433395
"cvd_ihd",1560,2.01620821916011,1.67377487783115,2.40225630508548
"cvd_ihd",1561,2.01620906408352,1.67377539000608,2.40225755583764
"cvd_ihd",1562,2.0162099090073,1.67377590218117,2.40225880659047
"cvd_ihd",1563,2.01621075393143,1.67377641435641,2.40226005734394
"cvd_ihd",1564,2.01621159885593,1.67377692653181,2.40226130809807
"cvd_ihd",1565,2.01621244378078,1.67377743870737,2.40226255885285
"cvd_ihd",1566,2.01621328870599,1.67377795088308,2.40226380960828
"cvd_ihd",1567,2.01621413363156,1.67377846305895,2.40226506036435
"cvd_ihd",1568,2.0162149785575,1.67377897523498,2.40226631112109
"cvd_ihd",1569,2.0162158234838,1.67377948741116,2.40226756187847
"cvd_ihd",1570,2.01621666841045,1.6737799995875,2.4022688126365
"cvd_ihd",1571,2.01621751333747,1.673780511764,2.40227006339519
"cvd_ihd",1572,2.01621835826484,1.67378102394065,2.40227131415453
"cvd_ihd",1573,2.01621920319257,1.67378153611746,2.40227256491451
"cvd_ihd",1574,2.01622004812067,1.67378204829443,2.40227381567516
"cvd_ihd",1575,2.01622089304913,1.67378256047155,2.40227506643645
"cvd_ihd",1576,2.01622173797794,1.67378307264883,2.40227631719839
"cvd_ihd",1577,2.01622258290712,1.67378358482627,2.40227756796099
"cvd_ihd",1578,2.01622342783665,1.67378409700386,2.40227881872422
"cvd_ihd",1579,2.01622427276655,1.67378460918161,2.40228006948813
"cvd_ihd",1580,2.0162251176968,1.67378512135952,2.40228132025267
"cvd_ihd",1581,2.01622596262741,1.67378563353758,2.40228257101786
"cvd_ihd",1582,2.01622680755838,1.6737861457158,2.40228382178371
"cvd_ihd",1583,2.01622765248973,1.67378665789418,2.40228507255022
"cvd_ihd",1584,2.01622849742142,1.67378717007272,2.40228632331737
"cvd_ihd",1585,2.01622934235348,1.67378768225141,2.40228757408517
"cvd_ihd",1586,2.01623018728588,1.67378819443025,2.40228882485361
"cvd_ihd",1587,2.01623103221866,1.67378870660926,2.40229007562272
"cvd_ihd",1588,2.01623187715179,1.67378921878842,2.40229132639247
"cvd_ihd",1589,2.01623272208529,1.67378973096774,2.40229257716289
"cvd_ihd",1590,2.01623356701914,1.67379024314721,2.40229382793394
"cvd_ihd",1591,2.01623441195336,1.67379075532684,2.40229507870566
"cvd_ihd",1592,2.01623525688793,1.67379126750663,2.40229632947801
"cvd_ihd",1593,2.01623610182287,1.67379177968658,2.40229758025103
"cvd_ihd",1594,2.01623694675816,1.67379229186668,2.40229883102469
"cvd_ihd",1595,2.01623779169382,1.67379280404694,2.40230008179901
"cvd_ihd",1596,2.01623863662983,1.67379331622735,2.40230133257397
"cvd_ihd",1597,2.01623948156622,1.67379382840793,2.4023025833496
"cvd_ihd",1598,2.01624032650294,1.67379434058865,2.40230383412585
"cvd_ihd",1599,2.01624117144004,1.67379485276954,2.40230508490278
"cvd_ihd",1600,2.01624201637749,1.67379536495058,2.40230633568035
"cvd_ihd",1601,2.01624286131531,1.67379587713178,2.40230758645857
"cvd_ihd",1602,2.01624370625348,1.67379638931313,2.40230883723744
"cvd_ihd",1603,2.01624455119202,1.67379690149464,2.40231008801696
"cvd_ihd",1604,2.01624539613092,1.67379741367632,2.40231133879715
"cvd_ihd",1605,2.01624624107017,1.67379792585814,2.40231258957797
"cvd_ihd",1606,2.01624708600978,1.67379843804012,2.40231384035945
"cvd_ihd",1607,2.01624793094976,1.67379895022226,2.40231509114158
"cvd_ihd",1608,2.0162487758901,1.67379946240456,2.40231634192436
